date,province,country,lat,long,type,cases
03-07-2020,,Afghanistan,33.93911,67.709953,confirmed,302
04-07-2020,,Afghanistan,33.93911,67.709953,confirmed,348
05-07-2020,,Afghanistan,33.93911,67.709953,confirmed,279
06-07-2020,,Afghanistan,33.93911,67.709953,confirmed,239
07-07-2020,,Afghanistan,33.93911,67.709953,confirmed,194
08-07-2020,,Afghanistan,33.93911,67.709953,confirmed,210
09-07-2020,,Afghanistan,33.93911,67.709953,confirmed,314
10-07-2020,,Afghanistan,33.93911,67.709953,confirmed,286
11-07-2020,,Afghanistan,33.93911,67.709953,confirmed,172
12-07-2020,,Afghanistan,33.93911,67.709953,confirmed,85
13-07-2020,,Afghanistan,33.93911,67.709953,confirmed,4
14-07-2020,,Afghanistan,33.93911,67.709953,confirmed,285
15-07-2020,,Afghanistan,33.93911,67.709953,confirmed,254
16-07-2020,,Afghanistan,33.93911,67.709953,confirmed,76
17-07-2020,,Afghanistan,33.93911,67.709953,confirmed,159
18-07-2020,,Afghanistan,33.93911,67.709953,confirmed,72
19-07-2020,,Afghanistan,33.93911,67.709953,confirmed,174
20-07-2020,,Afghanistan,33.93911,67.709953,confirmed,51
21-07-2020,,Afghanistan,33.93911,67.709953,confirmed,89
22-07-2020,,Afghanistan,33.93911,67.709953,confirmed,112
23-07-2020,,Afghanistan,33.93911,67.709953,confirmed,201
24-07-2020,,Afghanistan,33.93911,67.709953,confirmed,53
25-07-2020,,Afghanistan,33.93911,67.709953,confirmed,55
26-07-2020,,Afghanistan,33.93911,67.709953,confirmed,121
27-07-2020,,Afghanistan,33.93911,67.709953,confirmed,106
22-01-2020,,Albania,41.1533,20.1683,confirmed,0
23-01-2020,,Albania,41.1533,20.1683,confirmed,0
24-01-2020,,Albania,41.1533,20.1683,confirmed,0
25-01-2020,,Albania,41.1533,20.1683,confirmed,0
26-01-2020,,Albania,41.1533,20.1683,confirmed,0
27-01-2020,,Albania,41.1533,20.1683,confirmed,0
28-01-2020,,Albania,41.1533,20.1683,confirmed,0
29-01-2020,,Albania,41.1533,20.1683,confirmed,0
30-01-2020,,Albania,41.1533,20.1683,confirmed,0
31-01-2020,,Albania,41.1533,20.1683,confirmed,0
01-02-2020,,Albania,41.1533,20.1683,confirmed,0
02-02-2020,,Albania,41.1533,20.1683,confirmed,0
03-02-2020,,Albania,41.1533,20.1683,confirmed,0
04-02-2020,,Albania,41.1533,20.1683,confirmed,0
05-02-2020,,Albania,41.1533,20.1683,confirmed,0
06-02-2020,,Albania,41.1533,20.1683,confirmed,0
07-02-2020,,Albania,41.1533,20.1683,confirmed,0
08-02-2020,,Albania,41.1533,20.1683,confirmed,0
09-02-2020,,Albania,41.1533,20.1683,confirmed,0
10-02-2020,,Albania,41.1533,20.1683,confirmed,0
11-02-2020,,Albania,41.1533,20.1683,confirmed,0
12-02-2020,,Albania,41.1533,20.1683,confirmed,0
13-02-2020,,Albania,41.1533,20.1683,confirmed,0
14-02-2020,,Albania,41.1533,20.1683,confirmed,0
15-02-2020,,Albania,41.1533,20.1683,confirmed,0
16-02-2020,,Albania,41.1533,20.1683,confirmed,0
17-02-2020,,Albania,41.1533,20.1683,confirmed,0
18-02-2020,,Albania,41.1533,20.1683,confirmed,0
19-02-2020,,Albania,41.1533,20.1683,confirmed,0
20-02-2020,,Albania,41.1533,20.1683,confirmed,0
21-02-2020,,Albania,41.1533,20.1683,confirmed,0
22-02-2020,,Albania,41.1533,20.1683,confirmed,0
23-02-2020,,Albania,41.1533,20.1683,confirmed,0
